Rm,Sm,Rn,Sn,RS_Gr,RS_Gn,chi2_pvalue,diff_entropy,lsb_diff_entropy,median_prefix_p,chi2_stat,label,photo_id,variant,method,p,density,changed_frac
41316,4574,36608,5057,0.560638427734375,0.4814300537109375,3.504864286580037e-278,1.9854896286053778,0.9860760667672075,2.687351034918547e-166,1719.3308997234305,0,0,clean,,,,
40488,4907,35701,5342,0.5429229736328125,0.4632415771484375,2.0087515609676034e-269,2.0159954125795827,0.98921238675363,2.198520787584392e-155,1675.851108883566,1,0,v0,nsF5,3,0.25,0.0317
39551,5256,34726,5691,0.5233001708984375,0.4430389404296875,4.999087695709331e-262,2.046024860955789,0.9922135234717745,9.835412326660684e-151,1639.0649698604016,1,0,v1,nsF5,3,0.55,0.0691
39232,5354,34236,5812,0.516937255859375,0.4337158203125,8.086362563284684e-252,2.0587826538893497,0.9936169655592153,3.5002109508280584e-149,1588.1773249339005,1,0,v2,nsF5,2,0.35,0.0877
37067,6509,31807,6686,0.466278076171875,0.3833160400390625,4.327208202079314e-219,2.1220665385863113,0.9983785295674803,7.707394092457223e-131,1424.0604049354563,1,0,v3,nsF5,2,0.85,0.2129
36467,6192,31989,6603,0.4619598388671875,0.387359619140625,1.6988127112059843e-201,2.0439349923800867,0.9917471382998225,8.91229249140596e-114,1335.1172677570344,1,0,v4,matrix,3,0.5,0.0628
28225,10048,24524,10197,0.2773590087890625,0.2186126708984375,2.354406032054879e-71,2.144985489611909,0.9980771517102125,1.199203913954206e-41,646.8948122438502,1,0,v5,matrix,2,0.8,0.2002
23562,16939,18735,14250,0.1010589599609375,0.0684356689453125,1.007508141484807e-06,4.667562090920289,0.9999998022101617,0.0005578955175237206,218.87204071216505,0,1,clean,,,,
23562,16922,18802,14266,0.101318359375,0.0692138671875,6.589742224590118e-06,4.6680436446171445,0.999999720012877,0.0012985510603017649,210.02289756859278,1,1,v0,nsF5,3,0.25,0.0321
23624,16890,18777,14184,0.102752685546875,0.0700836181640625,9.628426298300204e-07,4.668207382189542,0.9999997565274404,0.0006744143123023114,219.0800841521127,1,1,v1,nsF5,3,0.55,0.0701
23643,16878,18763,14343,0.1032257080078125,0.06744384765625,5.8372823476388425e-08,4.667843585832973,0.9999985573319494,0.0005509024172767198,231.51044030243713,1,1,v2,nsF5,2,0.35,0.0885
